EditorYear	EdiPercent	Cohort
0	0.0	4
1	0.5	4
2	0.3333333333333333	4
3	0.18181818181818182	4
4	0.3333333333333333	4
5	0.0	4
-5	0.5	4
-4	1.0	4
-3	0.2857142857142857	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.2857142857142857	4
3	1.0	4
4	0.6666666666666666	4
5	0.6666666666666666	4
-5	1.0	4
-4	0.0	4
-3	1.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.6666666666666666	4
3	0.25	4
4	1.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.0	4
2	1.0	4
3	1.0	4
4	1.0	4
5	1.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	0.5	4
2	0.6666666666666666	4
3	0.4	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.0	4
-2	0.0	4
-1	0.0	4
0	0.0	4
1	1.0	4
2	0.0	4
3	1.0	4
4	0.0	4
5	0.0	4
-5	0.0	4
-4	0.0	4
-3	0.2	4
-2	0.5	4
-1	0.0	4
